t,x,y,z,v_x,v_y,v_z,M
0.0,3907453.4220194584,-5001312.310698017,555269.2370453302,364.7018711665448,284.93632990252604,0.0,319950.0
0.004688027445220893,3907455.1317922445,-5001310.974960398,555269.237051072,364.7191088774065,284.9142666465239,0.0024495668740780164,319942.1085496409
0.05156830189742982,3907472.2339657242,-5001297.6232743235,555269.2377402333,364.89154807040217,284.69355547761035,0.02695399916811931,319863.19404605
0.2915707019214301,3907559.9149027052,-5001229.43192367,555269.2592849645,365.7761120755097,283.56139438924714,0.15265308627319688,319459.19320604164
0.5315731019454304,3907647.8084910563,-5001161.512742423,555269.3110477297,366.6636234548403,282.4255019097409,0.27876819549503373,319055.19236603327
0.7715755019694306,3907735.9154369603,-5001093.866624568,555269.3931282047,367.5540722224107,281.28589109380795,0.40529790298929513,318651.1915260249
1.0115779019934308,3907824.236444179,-5001026.494460918,555269.5056257206,368.44744818940313,280.1425752568259,0.532240756130232,318247.1906860165
1.251580302017431,3907912.7722140043,-5000959.397139066,555269.648639256,369.3437409670925,278.9955679710868,0.6595952739234346,317843.18984600814
1.4915827020414312,3908001.523445212,-5000892.575543313,555269.8222674311,370.2429399698938,277.84488306189616,0.7873599474356281,317439.18900599977
1.7315851020654314,3908090.4908340126,-5000826.030554615,555270.0266085002,371.1450344185297,276.69053460351796,0.9155332402415164,317035.1881659914
1.9715875020894316,3908179.675074008,-5000759.763050518,555270.2617603459,372.0500133433186,275.53253691496514,1.044113588887673,316631.187325983
2.211589902113432,3908269.076856144,-5000693.773905104,555270.5278204724,372.9578655875834,274.3709045556362,1.1730994033734632,316227.18648597464
2.451592302137432,3908358.696868667,-5000628.0639889315,555270.8248859989,373.86857981117976,273.2056523207977,1.302489067648976,315823.18564596627
2.6915947021614324,3908448.53579708,-5000562.634168981,555271.1530536539,374.78214449414486,272.0367952369136,1.4322809401299297,315419.1848059579
2.9315971021854326,3908538.5943241003,-5000497.485308599,555271.5124197688,375.6985479404651,270.8643485568209,1.562473354229505,315015.1839659495
3.1715995022094328,3908628.873129617,-5000432.618267445,555271.9030802723,376.6177782819636,269.68832775475346,1.6930646189070515,314611.18312594114
3.411601902233433,3908719.3728906503,-5000368.033901438,555272.325130684,377.53982348230574,268.5087485212128,1.8240530192335975,314207.18228593277
3.651604302257433,3908810.094281313,-5000303.733062706,555272.7786661092,378.46467134112345,267.32562675768867,1.9554368169740872,313803.1814459244
3.8916067022814333,3908901.0379727692,-5000239.716599536,555273.2637812336,379.3923094982563,266.1389785712284,2.0872142511862544,313399.180605916
4.1316091023054335,3908992.2046331987,-5000175.985356325,555273.7805703172,380.3227254381098,264.94882026885716,2.2193835388360323,312995.17976590764
4.371611502329434,3909083.594927759,-5000112.540173532,555274.3291271897,381.2559064941297,263.75516835184953,2.3519428754293887,312591.17892589926
4.611613902353434,3909175.2095185495,-5000049.381887636,555274.9095452451,382.1918398533912,262.5580395098535,2.4848904356604633,312187.1780858909
4.851616302377434,3909267.049064578,-4999986.511331084,555275.521917437,383.130512561302,261.35745061486864,2.618224374075872,311783.1772458825
5.091618702401434,3909359.1142217265,-4999923.929332256,555276.1663362737,384.0719115264193,260.1534187150793,2.751942825755036,311379.17640587414
5.3316211024254345,3909451.4056427195,-4999861.636715419,555276.8428938135,385.01602352537793,258.94596102854416,2.886043907006375,310975.17556586576
5.571623502449435,3909543.9239770914,-4999799.6343006855,555277.5516816607,385.9628352079299,257.7350949367441,3.020525716079202,310571.1747258574
5.811625902473435,3909636.669871159,-4999737.922903981,555278.2927909609,386.91233310209316,256.5208379779897,3.1553863338911383,310167.173885849
6.051628302497435,3909729.6439679908,-4999676.503337001,555279.0663123971,387.86450361940865,255.3032078406902,3.2906238247708615,309763.17304584064
6.291630702521435,3909822.846907381,-4999615.376407181,555279.872336186,388.8193330603042,254.08222235648574,3.426236237215981,309359.17220583226
6.5316331025454355,3909916.279325823,-4999554.542917657,555280.7109520738,389.7768076195637,252.85789949324473,3.562221604665837,308955.1713658239
6.771635502569436,3910009.941856485,-4999494.003667239,555281.5822493333,390.7369133919001,251.63025734792836,3.698577946288997,308551.1705258155
7.011637902593436,3910103.835129186,-4999433.75945038,555282.4863167601,391.69963637763,250.39931413932456,3.835303267785216,308147.16968580714
7.251640302617436,3910197.9597703754,-4999373.811057145,555283.4232426697,392.6649624884493,249.1650882006534,3.9723955622016205,307743.16884579876
7.491642702641436,3910292.31640311,-4999314.159273186,555284.3931148943,393.6328775533069,247.92759797204633,4.109852810762861,307339.1680057904
7.7316451026654365,3910386.9056470366,-4999254.804879717,555285.3960207806,394.60336732437526,246.68686199290158,4.247672983714968,306935.167165782
7.971647502689437,3910481.728118374,-4999195.748653492,555286.4320471865,395.57641748311556,245.44289889411843,4.385854041182638,306531.16632577364
8.211649902713438,3910576.7844298966,-4999136.991366784,555287.5012804797,396.5520136464358,244.19572739021254,4.52439393403967,306127.16548576526
8.451652302737438,3910672.07519092,-4999078.533787365,555288.6038065347,397.53014137293945,242.9453662713155,4.663290604792251,305723.1646457569
8.691654702761438,3910767.601007287,-4999020.376678488,555289.7397107313,398.5107861692626,241.69183439506082,4.802541988474789,305319.1638057485
8.931657102785438,3910863.3624813566,-4998962.520798873,555290.9090779532,399.4939334964973,240.4351506783597,4.942146013557989,304915.16296574014
9.171659502809439,3910959.3602119936,-4998904.966902695,555292.1119925858,400.4795687766992,239.17533408906905,5.082100602868839,304511.16212573176
9.411661902833439,3911055.5947945598,-4998847.715739569,555293.3485385157,401.46767739947654,237.91240363755531,5.22240367452218,304107.1612857234
